"","Provider.ID","HAI_1_SIR","HAI_2_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE_Score","PSI_90_SAFETY_Score"
"2625",281333,NA,NA,NA,NA,NA,NA,NA,NA
"2626",281334,NA,NA,NA,NA,NA,NA,"3.2",NA
"2627",281335,NA,NA,NA,NA,NA,NA,NA,NA
"2628",281336,NA,NA,NA,NA,NA,NA,"3.1",NA
"2629",281338,NA,NA,NA,NA,NA,NA,NA,NA
"2630",281339,NA,NA,NA,NA,NA,NA,NA,NA
"2631",281340,NA,NA,NA,NA,NA,NA,NA,NA
"2632",281341,NA,NA,NA,NA,NA,NA,NA,NA
"2633",281342,NA,NA,NA,NA,NA,NA,"3.3",NA
"2634",281343,NA,NA,NA,NA,NA,NA,NA,NA
"2635",281344,NA,NA,NA,NA,NA,NA,"2.8",NA
"2636",281345,NA,NA,NA,NA,NA,NA,NA,NA
"2637",281346,NA,NA,NA,NA,NA,NA,NA,NA
"2638",281347,NA,NA,NA,NA,NA,NA,NA,NA
"2639",281348,NA,NA,NA,NA,NA,NA,NA,NA
"2640",281349,NA,NA,NA,NA,NA,NA,NA,NA
"2641",281350,NA,NA,NA,NA,NA,NA,NA,NA
"2642",281351,NA,NA,NA,NA,NA,NA,NA,NA
"2643",281352,NA,NA,NA,NA,NA,NA,"3.0",NA
"2644",281353,NA,NA,NA,NA,NA,NA,NA,NA
"2645",281354,NA,NA,NA,NA,NA,NA,NA,NA
"2646",281355,NA,NA,NA,NA,NA,"1.747",NA,NA
"2647",281356,NA,NA,NA,NA,NA,NA,NA,NA
"2648",281357,NA,NA,NA,NA,NA,NA,"2.9",NA
"2649",281358,NA,NA,NA,NA,NA,NA,NA,NA
"2650",281359,NA,NA,NA,NA,NA,NA,NA,NA
"2651",281360,NA,NA,NA,NA,NA,NA,"3.1",NA
"2652",281361,NA,NA,NA,NA,NA,NA,"2.8",NA
"2653",281362,NA,NA,NA,NA,NA,NA,"3.1",NA
"2654",281363,NA,NA,NA,NA,NA,NA,"2.7",NA
"2655",281364,NA,NA,NA,NA,NA,NA,"2.9",NA
"2656",281365,NA,NA,NA,NA,NA,NA,NA,NA
"2657",283300,NA,NA,NA,NA,NA,NA,NA,NA
"2658",283301,NA,NA,NA,NA,NA,NA,NA,NA
"2659",290001,"0.423","0.29","1.822","2.134","0.286","1.058","3.9","1.40"
"2660",290002,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2661",290003,"0.37","0.442","0.853","0.591","1.216","1.079","3.1","0.96"
"2662",290005,"1.052","0.844",NA,NA,"2.539","2.281","3.2","0.95"
"2663",290006,NA,"0",NA,NA,NA,"1.924","2.9","0.91"
"2664",290007,"0.729","0.673","2.397",NA,"1.998","0.825","3.2","1.38"
"2665",290008,NA,"0.507",NA,NA,NA,"0","2.6","0.77"
"2666",290009,"0.216","0.662","2.416","0","0.36","2.306","3.1","0.49"
"2667",290012,"0.166","0.326","0",NA,NA,"1.549","2.8","0.67"
"2668",290019,"0.96","0.808","2.059",NA,"0.854","0.574","3.7","0.79"
"2669",290021,"0.877","0.383","0.557","1.668","1.566","1.143","3.3","0.97"
"2670",290022,"0.312","0.061","0",NA,"0.935","1.036","3.2","0.95"
"2671",290032,NA,NA,NA,NA,NA,"0.983","3.9","0.84"
"2672",290039,"0.569","0.191","0.718","0.54","0.497","1.131","2.7","0.94"
"2673",290041,"0.6","0.817","1.151","1.206","0.953","0.926","3.4","0.96"
"2674",290042,NA,NA,NA,NA,NA,NA,NA,NA
"2675",290045,"0.115","0.612","0.658",NA,"0","2.04","4.0","1.31"
"2676",290046,"1.234","0.531","1.181","0","0","0.925","3.8","1.02"
"2677",290047,"0","0","1.282",NA,"0","1.663","4.3","0.77"
"2678",290049,"0","0",NA,NA,NA,"1.073","2.4","0.88"
"2679",290053,"0.246","0.466","1.808",NA,"0","1.871","3.2","0.95"
"2680",290054,"0.611","0.086","0",NA,"1.024","0.519","3.6","1.07"
"2681",290056,NA,NA,NA,NA,NA,NA,NA,NA
"2682",291300,NA,NA,NA,NA,NA,NA,NA,NA
"2683",291301,NA,NA,NA,NA,NA,NA,NA,NA
"2684",291302,NA,NA,NA,NA,NA,NA,NA,NA
"2685",291303,NA,NA,NA,NA,NA,NA,NA,NA
"2686",291304,NA,NA,NA,NA,NA,NA,NA,NA
"2687",291306,NA,NA,NA,NA,NA,NA,"3.0",NA
"2688",291307,NA,NA,NA,NA,NA,NA,"2.8",NA
"2689",291308,NA,NA,NA,NA,NA,NA,NA,NA
"2690",291309,NA,NA,NA,NA,NA,NA,NA,NA
"2691",291311,NA,NA,NA,NA,NA,NA,NA,NA
"2692",291312,NA,NA,NA,NA,NA,NA,NA,NA
"2693",300001,"0","0.534","0.694","0","0.813","0.61","2.2","0.85"
"2694",300003,"0.947","0.499","0.768","1.021","0.674","0.723","2.4","1.30"
"2695",300005,"0","0.242","0.605",NA,"0","1.334","4.0","0.96"
"2696",300011,"0.57","0.913","0.509",NA,"0","1.043","3.1","0.99"
"2697",300012,"0.786","0.244","1.295","1.889","0.828","0.86","3.6","0.86"
"2698",300014,"0","0.347","1.286",NA,NA,"1.188","3.7","0.83"
"2699",300017,"0","0",NA,NA,NA,"0.668",NA,"0.87"
"2700",300018,"0.207","0.552","1.568","0","1.632","1.362","3.4","1.02"
"2701",300019,"2.145","0.287","0",NA,NA,"0.415","3.3","0.69"
"2702",300020,"0","0.458","1.243",NA,"2.951","1.073","3.0","0.75"
"2703",300023,"0.404","0.541","0.863",NA,NA,"1.057","2.7","0.92"
"2704",300029,"0.589","0.138","1.55",NA,"0.673","1.116","2.1","0.76"
"2705",300034,"0.634","1","1.435",NA,"0.422","1.525","2.8","0.88"
"2706",301300,NA,NA,NA,NA,NA,NA,NA,NA
"2707",301301,NA,"0.688",NA,NA,NA,"0.402","3.0",NA
"2708",301302,NA,NA,NA,NA,NA,NA,"2.8",NA
"2709",301303,NA,NA,NA,NA,NA,NA,"3.4",NA
"2710",301304,NA,NA,NA,NA,NA,NA,"2.8",NA
"2711",301305,NA,NA,NA,NA,NA,NA,"3.3",NA
"2712",301306,NA,"0",NA,NA,NA,"0",NA,NA
"2713",301307,NA,"0.678",NA,NA,NA,"0","2.9",NA
"2714",301308,NA,NA,NA,NA,NA,"0",NA,NA
"2715",301309,NA,NA,NA,NA,NA,"0.603","2.5",NA
"2716",301310,NA,"0",NA,NA,NA,"0.306","2.6",NA
"2717",301311,NA,NA,NA,NA,NA,"0.624","3.4",NA
"2718",301312,NA,"0.943",NA,NA,NA,NA,"2.7",NA
"2719",310001,"0.645","0.823","0.312","0.672","1.578","1.108","3.2","1.14"
"2720",310002,"0.243","0.76","3","2.563","0.858","0.737","2.8","1.11"
"2721",310003,"0.319","0.084",NA,NA,"1.713","1.098",NA,"1.14"
"2722",310005,"0.82","0.637","1.294",NA,"1.648","1.729","3.0","0.95"
"2723",310006,"1.675","0.661","0",NA,"0.795","0.64","3.3","0.63"
"2724",310008,"0.721","0.09","0.296","1.039","0.64","1.357","4.4","0.83"
"2725",310009,"0.19","0.209","2.289",NA,"2.221","0.947","2.4","0.54"
"2726",310010,"0","0.916","1.009","0","0.73","0.724","2.3","0.80"
"2727",310011,"1.341","0.487","1.914",NA,"1.943","1.175","3.9","0.84"
"2728",310012,"0.937","0.595","1.54",NA,"0.75","0.875","2.8","1.07"
"2729",310014,"1.666","1.399","0.63","0.522","1.218","0.803","2.4","0.94"
"2730",310015,"0.504","0.613","0.33","0.394","0.661","1.036","2.2","0.95"
"2731",310016,"0.294","0","0",NA,"0.58","0.195",NA,"1.03"
"2732",310017,"0.46","0.391","1.059",NA,"0.992","1.214","3.1","1.03"
"2733",310019,"0.983","0.971","0.385",NA,"0.801","1.012","3.0","1.04"
"2734",310021,"0","0.422",NA,NA,"1.263","0.855",NA,"1.35"
"2735",310022,"0.551","0.433","0.556","0.27","0.27","1.088","2.8","0.68"
"2736",310024,"0.219","0.056","0",NA,"2.948","2.025","3.6","0.81"
"2737",310025,"0.459","0.337","1.145",NA,"1.25","0.838",NA,"0.85"
"2738",310027,"1.467","0.751","0","2.469","1.462","0.526","3.3","0.94"
"2739",310028,"0.222","0.406","0.336",NA,"1.772","1.202","3.2","0.95"
"2740",310029,"0.32","1.04","0.417",NA,"1.226","1.234","3.3","0.60"
"2741",310031,"0.132","0.31",NA,NA,NA,"1.575",NA,"0.68"
"2742",310032,"0.704","0.323","0.749","0.504","1.338","0.358","3.2","1.00"
"2743",310034,"1.149","0.105","0","0.697","1.005","0.618","2.1","0.90"
"2744",310038,"0.902","1.243","1.426","1.976","1.398","0.926","4.4","1.19"
"2745",310039,"0.717","0.523","0.791",NA,"0.527","1.007","3.0","0.75"
"2746",310040,"0.414","0.69",NA,NA,"0","0.154","3.2","0.83"
"2747",310041,"0.68","0.338","2.066","0","1.378","1.207","2.3","0.71"
"2748",310044,"0.848","1.483","2.053",NA,"0","1.08","2.7","1.27"
"2749",310045,"0.235","0.323","0.948",NA,"1.453","0.735","3.1","0.66"
"2750",310047,"0.119","0.245","0.777",NA,"0.418","0.761","3.3","0.62"
"2751",310048,"0.893","0.659","0.649",NA,"1.327","0.672","3.6","0.89"
"2752",310050,"0.477","0.461","0.216",NA,"0","1.024","2.8","0.69"
"2753",310051,"0.246","0.916","0.645","0.641","0.597","1.214","3.9","0.95"
"2754",310052,"0.482","0.232","0.41",NA,"1.423","0.846","3.2","0.77"
"2755",310054,"0.416","0.876","0.441","0.428","0.501","0.579","3.8","1.00"
"2756",310057,"0.305","0.651","0.45","1.957","0.757","0.653","3.0","0.93"
"2757",310058,"0","0",NA,NA,"0.68","0.323",NA,"0.92"
"2758",310060,"0.43","0.239","0.525",NA,"0","0.83","3.1","0.83"
"2759",310061,"0.666","0.416","2.397",NA,"0.845","0.994","2.7","0.99"
"2760",310064,"0.582","0.808","0.728","1.792","0.534","0.682","2.6","0.98"
"2761",310069,NA,"1.672",NA,NA,NA,"0.282","2.4","0.92"
"2762",310070,"0.434","1.009","0.694","1.308","0.753","0.439","3.9","1.22"
"2763",310073,"0.425","0.816","1.046","0.628","1.641","0.824","2.0","0.98"
"2764",310074,"0.34","0.153","0.515",NA,"1.023","0.645","3.1","0.86"
"2765",310075,"0.508","0.758","1.273","1.006","0.441","0.703","2.5","0.86"
"2766",310076,"0.452","0.807","0.587","1.225","0.541","0.99","3.0","1.47"
"2767",310081,"0.156","0.841","0.26",NA,"0.421","0.762","3.2","0.81"
"2768",310083,"0.767","0",NA,NA,"0.723","0.557",NA,"0.62"
"2769",310084,"0.736","2.677",NA,NA,"0.608","1.058",NA,"0.77"
"2770",310086,"0.652","0.344","1.26","0.853","0.771","1.003","3.3","0.92"
"2771",310091,"0","0",NA,NA,NA,"0.713",NA,"0.94"
"2772",310092,"0.36","1.259","0.908",NA,"1.515","1.482",NA,"1.24"
"2773",310096,"1.099","0.191",NA,NA,"0.719","0.67","3.0","1.13"
"2774",310108,"0.597","0.982","0.263","0.893","2.099","0.665","2.5","0.92"
"2775",310110,"0.527","0","0.696",NA,"1.097","1.084","2.8","1.29"
"2776",310111,"0.807","0.915","1.928",NA,"1.141","0.803","2.8","0.64"
"2777",310112,"1.093","0.52","0.612",NA,"6.586","1.316","3.7","0.82"
"2778",310113,"0.625","0.441","0",NA,"1.01","1.261","2.8","0.99"
"2779",310115,"0.536","0.541","1.934",NA,NA,"0.518","3.9","1.34"
"2780",310118,NA,"1.591",NA,NA,NA,"0.597",NA,"0.79"
"2781",310119,"1.338","1.289","2.238",NA,"0.665","0.685",NA,"1.52"
"2782",310130,"0.524","0.241","0.653",NA,NA,"0.957","3.4","1.01"
"2783",313300,NA,NA,NA,NA,NA,NA,NA,NA
"2784",313302,NA,NA,NA,NA,NA,NA,NA,NA
"2785",320001,"0.697","0.935","2.793","1.348","0.248","1.007","2.9","1.53"
"2786",320002,"0.865","0.628","2.934",NA,"0.985","1.442","1.8","1.05"
"2787",320003,NA,NA,NA,NA,NA,"0",NA,"0.83"
"2788",320004,"0","1.509","1.86",NA,NA,"2.256","2.9","0.64"
"2789",320005,"0.354","0.561","2.281",NA,"0","1.441","2.9","1.08"
"2790",320006,NA,"0",NA,NA,NA,"0.457","3.1","1.02"
"2791",320009,"0.511","0.221","0",NA,"1.857","1.82","2.8","0.88"
"2792",320011,"0","0",NA,NA,NA,"1.291","2.9","0.86"
"2793",320013,NA,"1.465",NA,NA,NA,"0.298","3.3","0.94"
"2794",320016,NA,"0",NA,NA,NA,"1.286","2.7","0.82"
"2795",320017,"0.937","0.429","0","0.736","0.84","0.476","3.2","0.72"
"2796",320018,"0.519","0.731","0",NA,"0.63","0.713","2.5","0.88"
"2797",320021,"0.475","0.459","1.398","1.486","0.687","1.523","2.8","1.04"
"2798",320022,NA,"0.579",NA,NA,NA,"0.835","3.0","0.96"
"2799",320030,NA,"0",NA,NA,NA,"0","3.1","0.78"
"2800",320033,NA,NA,NA,NA,NA,NA,"2.6","1.05"
"2801",320038,NA,"0",NA,NA,NA,"0",NA,"0.77"
"2802",320057,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2803",320058,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2804",320059,"1.896","0.596",NA,NA,NA,"0.463",NA,"1.01"
"2805",320060,NA,NA,NA,NA,NA,NA,NA,"0.88"
"2806",320061,NA,"1.057",NA,NA,NA,"1.007",NA,"0.90"
"2807",320062,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2808",320063,NA,"0.482",NA,NA,NA,"0.931",NA,"1.05"
"2809",320065,NA,"0",NA,NA,NA,"0",NA,"0.92"
"2810",320067,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2811",320070,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2812",320074,NA,"0.589",NA,NA,NA,"1.82","2.7","0.81"
"2813",320084,NA,NA,NA,NA,NA,NA,NA,"0.87"
"2814",320085,"0.409","0.108","1.211","0","0","1.164","3.3","0.81"
"2815",320086,NA,"0",NA,NA,NA,"0.953","2.6","0.80"
"2816",320089,"0","0.468",NA,NA,NA,"0.979","2.9","0.88"
"2817",321300,NA,NA,NA,NA,NA,"0.943",NA,NA
"2818",321301,NA,NA,NA,NA,NA,NA,NA,NA
"2819",321302,NA,NA,NA,NA,NA,NA,NA,NA
"2820",321304,NA,NA,NA,NA,NA,NA,NA,NA
"2821",321305,NA,NA,NA,NA,NA,NA,NA,NA
"2822",321306,NA,NA,NA,NA,NA,NA,NA,NA
"2823",321307,NA,NA,NA,NA,NA,"0",NA,NA
"2824",321308,NA,NA,NA,NA,NA,NA,NA,NA
"2825",321309,NA,"0",NA,NA,NA,"0.888",NA,NA
"2826",330003,"1.114","0.692","0",NA,NA,"0.61","2.8","0.80"
"2827",330004,"0","0","0",NA,"1.001","1.748",NA,"1.02"
"2828",330005,"0.741","0.78","1.225","0.433","1.496","0.994","3.8","1.26"
"2829",330006,"0.78","2.421",NA,NA,"2.559","0.366","2.7","1.29"
"2830",330008,NA,"0.594",NA,NA,NA,"0",NA,"0.89"
"2831",330009,"0.992","1.173","0.428","0.686","0.974","0.795",NA,"1.05"
"2832",330011,"0.587","0.093","1.512",NA,"0.512","1.136","2.9","1.17"
"2833",330013,"0.611","0.873","1.177","0","0.731","1.08","3.1","0.87"
"2834",330014,"0.888","1.172","0.923","2.039","1.08","0.667",NA,"0.86"
"2835",330019,"2.681","0.268",NA,NA,"0","1.462",NA,"0.69"
"2836",330023,"0.496","0.486","0.897","1.404","0.578","1.41","3.3","0.85"
"2837",330024,"0.544","0.454","2.371","0.199","1.697","1.202","3.7","0.99"
"2838",330027,"0.157","0.519","2.129",NA,"0.885","0.221",NA,"0.90"
"2839",330028,"0.766","0.865","1.916","1.293","1.036","0.7","3.2","1.03"
"2840",330030,"0.641","0.706","0.829",NA,"0","0.683","4.5","1.00"
"2841",330033,NA,"0.799",NA,NA,NA,"0.617","3.6","0.85"
"2842",330043,"0.782","0.978","1.202","1.571","1.15","0.67","2.7","1.12"
"2843",330044,"0.527","0.809","1.121",NA,"1.415","1.108","2.7","0.95"
"2844",330045,"0.535","0.579","1.618","0","0.727","0.597","2.0","0.70"
"2845",330046,"0.419","0.32","0.786","1.054","0.299","0.641","2.7","0.97"
"2846",330047,"0","0",NA,NA,"0","0.589","2.0","0.61"
"2847",330049,"1.39","0.489",NA,NA,NA,"1.945","2.0","0.78"
"2848",330055,"1.093","0.552","1.693","1.606","0.562","1.217","2.9","0.82"
"2849",330056,"1.534","1.325","0.901","0.561","2.054","0.632","3.4","1.29"
"2850",330057,"0.672","0.727","1.436","1.436","0.445","0.85","2.2","1.02"
"2851",330058,"0.571","0.36","2.331",NA,NA,"0.407","3.8","0.93"
"2852",330059,"0.585","0.881","1.015","0.984","0.987","0.9","2.5","1.42"
"2853",330061,"0.97","0.202","0.483",NA,"1.058","1.247","3.6","0.81"
"2854",330065,"0.36","0.226",NA,NA,"2.79","1.224",NA,"1.06"
"2855",330073,"0","0.923",NA,NA,NA,"1.303","2.9","0.77"
"2856",330074,"0.3","1.057","2.806",NA,"0","0.812","2.6","0.74"
"2857",330078,"0.424","0.825","3.448","1.419","1.515","0.907","2.8","0.76"
"2858",330079,"0","0.35","1.109",NA,NA,"1.196","2.4","1.02"
"2859",330080,"1.064","0.295","0.599",NA,"0.879","0.375",NA,"0.77"
"2860",330084,NA,"0",NA,NA,NA,"0","4.4","0.94"
"2861",330085,"1.105","0.656",NA,NA,NA,"0.752","2.9","1.12"
"2862",330086,"0","0.586",NA,NA,NA,"0.581",NA,"0.96"
"2863",330088,NA,NA,NA,NA,NA,"0.304",NA,"0.91"
"2864",330090,"0.746","0.709","1.937",NA,"2.135","1.294","3.0","0.74"
"2865",330094,"1.143","1.142","0.594",NA,"1.36","0.726","2.6","1.07"
"2866",330096,NA,"0",NA,NA,NA,"0.913",NA,"1.02"
"2867",330100,NA,NA,NA,NA,NA,NA,NA,"0.86"
"2868",330101,"0.786","0.512","1.087","0.374","0.917","0.912","3.6","0.83"
"2869",330102,"0.43","0.484","1.323",NA,"0","0.758","3.2","0.80"
"2870",330103,"0.955","0.739","0.478",NA,"1.233","0.981","3.2","1.11"
"2871",330104,"0.471","0.492","0",NA,"0","0.59","2.7","0.75"
"2872",330106,"0.265","0.597","1.402","1.306","0.715","0.648","2.6","1.19"
"2873",330107,"1.496","0.25","0.439",NA,"4.917","1.576","3.1","1.65"
"2874",330108,NA,NA,NA,NA,NA,"1.097","3.1","0.87"
"2875",330111,NA,NA,NA,NA,NA,"1.151",NA,"0.89"
"2876",330115,"0","0","1.366",NA,NA,"0.82","3.3","0.73"
"2877",330119,"0.551","1.239","1.861","1.759","0.422","0.772","3.2","1.01"
"2878",330125,"0.755","0.896","1.434","0.884","0.26","0.698","2.6","1.07"
"2879",330126,"0.679","0.799","0.731",NA,"2.263","1.554","2.4","0.51"
"2880",330127,"0.577","0.647","0.979","1.667","0.243","0.786",NA,"1.52"
"2881",330128,"1.065","1.941","5.216",NA,"1.066","0.377",NA,"0.94"
"2882",330132,NA,NA,NA,NA,NA,"0.837","2.8","0.86"
"2883",330135,"0","0.615",NA,NA,NA,"0.582","2.8","0.83"
"2884",330136,"0.248","0.096","1.19",NA,"0","0.579","3.5","1.08"
"2885",330140,"0.981","0.688","1.902","1.486","1.18","1.222","2.7","0.94"
"2886",330141,"1.569","1.099","0.394",NA,"4.644","1.571","3.1","0.73"
"2887",330144,NA,NA,NA,NA,NA,"0.783",NA,"0.85"
"2888",330151,NA,NA,NA,NA,NA,"0",NA,"0.94"
"2889",330153,"0.132","0.55","0.54",NA,"0","0.734","2.6","0.78"
"2890",330157,"1.213","0.627","4.132",NA,"1.729","0.682","2.4","1.00"
"2891",330158,"1.513","1.147","0",NA,"0.57","1.123","2.5","0.96"
"2892",330160,"0.246","0.674","0.898","2.626","1.506","0.718","3.4","1.62"
"2893",330162,"0.375","0.955","1.367","0.514","0.512","1.188","3.3","0.77"
"2894",330163,"2.757","0.365","0",NA,"1.776","0.209",NA,"0.93"
"2895",330164,"0.321","0.465","1.288","1.981","0.939","0.734","3.4","0.80"
"2896",330166,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2897",330167,"0.487","0.853","1.367","0.371","1.06","0.971","2.8","1.19"
"2898",330169,"0.413","0.242","0.812","0","0.841","0.634","2.8","0.97"
"2899",330175,"0","0.839",NA,NA,NA,"1.18",NA,"0.78"
"2900",330180,"0.497","0.708","0.625",NA,"0","0.435","3.4","0.99"
"2901",330181,"0","0","0.907",NA,NA,"0.968","2.6","1.02"
"2902",330182,"0.576","0.434","1.322",NA,"1.227","1.402","2.6","1.12"
"2903",330184,"0.292","0.887","0.587",NA,"2.807","1.233","2.6","1.03"
"2904",330185,"0.442","0.661","1.971",NA,"1.631","0.974","2.7","0.86"
"2905",330188,"0","0.318","2.715",NA,"0.734","0.397","2.5","0.89"
"2906",330191,"0","0.416","0.937",NA,"0.389","0.791","3.2","0.71"
"2907",330193,"1.494","0.682","0.688","0","1.913","0.633","3.3","0.87"
"2908",330194,"0.747","0.581","2.099","1.942","1.609","0.489","2.7","0.85"
"2909",330195,"0.385","0.74","1.337","0.54","0.69","0.692","3.2","1.03"
"2910",330196,"0.913","0.662","0.555",NA,"2.22","1.071",NA,"1.25"
"2911",330197,"1.072","0.247","1.531",NA,NA,"0.927","4.0","0.97"
"2912",330198,"0.167","0.714","1.406","1.033","0.996","1.065","3.6","0.94"
"2913",330199,"0.66","0.312","0.951",NA,"0.868","0.33",NA,"0.87"
"2914",330201,"1.209","0.574","1.931",NA,"2.047","1.122",NA,"0.97"
"2915",330202,"0.819","1.349","1.095",NA,"0.758","0.619",NA,"1.64"
"2916",330203,"0.732","0.639","1.145","0.427","1.548","0.59","2.8","1.07"
"2917",330204,"0.608","0.647","1.843","0.799","0.891","0.776",NA,"1.34"
"2918",330205,"0.742","0.447",NA,NA,NA,"1.166","2.6","0.99"
"2919",330208,"0.316","0.891","0.654",NA,"2.47","0.464","2.7","0.55"
"2920",330211,"0.92","0.753",NA,NA,NA,"0.683","3.8","0.87"
"2921",330214,"0.567","0.401","1.059","2.569","2.215","1.033","3.8","1.04"
"2922",330215,"0","0",NA,NA,NA,"2.062","3.3","0.81"
"2923",330218,"0","0.579","0",NA,NA,"0.158","3.0","0.81"
"2924",330219,"0.758","0.614","2.048",NA,"1.786","0.896","3.6","0.96"
"2925",330221,"1.403","0.601","1.842",NA,"2.762","0.62",NA,"0.94"
"2926",330222,"0.107","0.911","1.615",NA,"0","1.287","3.3","0.93"
"2927",330223,NA,"0",NA,NA,NA,"0.66","3.0","0.94"
"2928",330224,NA,NA,NA,NA,NA,"0","2.9","0.76"
"2929",330226,"0.411","0.465","0.563","0.444","1.195","0.447","2.3","0.66"
"2930",330229,NA,"0",NA,NA,NA,"1.04","2.6","0.81"
"2931",330231,"0.777","0.377","1.42",NA,"0.963","0.381",NA,"0.97"
"2932",330232,"0.442","0.315",NA,NA,NA,"1.011","3.4","0.73"
"2933",330233,"1.663","1.948","2.653",NA,"3.289","0.574",NA,"1.07"
"2934",330234,"0.385","0.614","2.809","0.446","0.634","0.664","3.2","1.35"
"2935",330235,"0.467","0.918","0.912",NA,"0.829","1.147","3.8","0.90"
"2936",330236,"0.958","0.244","1.163","0.684","0.952","0.961","3.2","1.51"
"2937",330238,NA,"0.461",NA,NA,NA,"0.629","2.7","0.78"
"2938",330239,"0","0.187","0",NA,NA,"1.224","2.8","0.83"
"2939",330240,"0.975","0.409","0.839",NA,"0","0.452",NA,"0.94"
"2940",330241,"0.396","0.677","2.503","3.497","0.913","0.817","3.6","1.59"
"2941",330245,"0.324","1.475","0",NA,"1.942","1.498","2.0","1.24"
"2942",330246,"1.016","0.541","0.627",NA,"2.637","0.821","2.6","0.74"
"2943",330250,"0.223","0.366","1.509",NA,"0.895","0.319","2.6","0.71"
"2944",330259,"0.714","0.667","0.504",NA,"1.21","1.597","2.6","0.87"
"2945",330261,"0.482","1.175","0.674",NA,"0.984","0.591","1.9","0.86"
"2946",330264,"0.231","0.392","1.139",NA,"0.413","1.525","3.1","0.90"
"2947",330265,"0.528","0.366",NA,NA,NA,"0.247",NA,"1.03"
"2948",330267,"0","0","0",NA,"1.223","1.033","2.7","1.02"
"2949",330268,NA,NA,NA,NA,NA,"0.747",NA,"0.87"
"2950",330270,"0.353","0.937",NA,NA,"0","0.726","2.1","0.90"
"2951",330273,"1.703","0.996","1.399",NA,"4.699","1.036","2.3","0.91"
"2952",330276,NA,"0",NA,NA,NA,"0.666","2.9","0.92"
"2953",330277,"0","0.556","0.988",NA,NA,"0.712","2.4","0.68"
"2954",330279,"0.71","0.88","1.145","0","0.539","0.776","2.8","1.12"
"2955",330285,"0.424","0.798","1.415","0.394","0.643","0.878",NA,"0.82"
"2956",330286,"0.564","1.318","0.803","0.71","1.501","1.267","3.2","1.34"
"2957",330304,"1.173","0.964","1.473","0.477","0.608","0.909","3.6","1.20"
"2958",330306,"0.719","0.455","0.445","1.248","0.999","1.186","3.1","0.97"
"2959",330307,"0.193","0.599","1.149",NA,"0","0.836","2.9","0.89"
"2960",330331,"0.584","1.303","1.904",NA,"1.348","1.124","2.5","1.13"
"2961",330332,"1.4","0.992","4.699",NA,"2.375","1.402","3.4","0.85"
"2962",330340,"0.862","1.545","0.603",NA,NA,"1.085","3.1","0.86"
"2963",330350,"2.399","0.76","0.896","1.65","0.812","1.122","3.4","1.42"
"2964",330353,"0.69","0.251","0",NA,"1.518","1.151","3.8","0.76"
"2965",330372,"0.472","0.308","0",NA,"0.892","0.365","2.8","0.98"
"2966",330385,"0.983","0",NA,NA,"1.406","0.266",NA,"0.83"
"2967",330386,"1.045","0.508",NA,NA,NA,"1.075",NA,"1.08"
"2968",330387,NA,NA,NA,NA,NA,NA,NA,NA
"2969",330393,"0.51","0.792","1.625","0.813","1.11","1.216","2.9","1.24"
"2970",330394,"0.465","0.908","1.55",NA,"0.875","0.774","2.3","0.99"
"2971",330395,"1.583","0.446",NA,NA,"1.305","0.376",NA,"0.95"
"2972",330396,"1.423","0.768",NA,NA,"0.543","0.579",NA,"0.80"
"2973",330397,"1.362","1.537",NA,NA,"0.699","0.275",NA,"1.04"
"2974",330399,"1.251","1.911","1.823",NA,"0.447","0.74",NA,"0.83"
"2975",330401,"0.544","0.574","0",NA,"0.799","0.989","2.2","1.00"
"2976",330403,NA,NA,NA,NA,NA,NA,NA,"0.90"
"2977",330405,NA,NA,NA,NA,NA,"0.562",NA,"0.89"
"2978",330406,NA,NA,NA,NA,NA,"1.205",NA,"0.89"
"2979",330408,NA,NA,NA,NA,NA,NA,NA,NA
"2980",330409,NA,NA,NA,NA,NA,NA,NA,NA
"2981",331301,NA,NA,NA,NA,NA,NA,NA,NA
"2982",331302,NA,NA,NA,NA,NA,NA,NA,NA
"2983",331303,NA,NA,NA,NA,NA,NA,NA,NA
"2984",331304,NA,NA,NA,NA,NA,NA,NA,NA
"2985",331305,NA,NA,NA,NA,NA,NA,NA,NA
"2986",331306,NA,NA,NA,NA,NA,NA,NA,NA
"2987",331307,NA,NA,NA,NA,NA,NA,NA,NA
"2988",331309,NA,NA,NA,NA,NA,NA,NA,NA
"2989",331310,NA,NA,NA,NA,NA,NA,NA,NA
"2990",331311,NA,NA,NA,NA,NA,NA,NA,NA
"2991",331312,NA,NA,NA,NA,NA,NA,NA,NA
"2992",331313,NA,NA,NA,NA,NA,NA,NA,NA
"2993",331314,NA,NA,NA,NA,NA,NA,NA,NA
"2994",331315,NA,NA,NA,NA,NA,NA,NA,NA
"2995",331316,NA,NA,NA,NA,NA,"0.491","2.4",NA
"2996",331317,NA,NA,NA,NA,NA,"0.367",NA,NA
